Barco/Marea/lance;Especie capturada;Especie descartada;Kg especie;Nº individuos;Media aritmética;Varianza muestral;Desv. Típica;Comprobación Nº ind.;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;81;83;86;88;89;92;96;113
OC_01_09;;SHO;X;41;54;59.4;7.7;41;;;;;;;;;;;;;;;;;;;;1;;;;1;;;1;2;2;2;;1;;3;2;1;2;4;1;4;1;2;;3;1;;1;3;1;;;1;1;;;;;;;;;;;;;;;;;
SS_01_01;SBR;;75;43;47.5;21.3;4.6;43;;;;;;;;;;;;;;;;;;;;;;;;2;1;3;5;4;2;3;4;2;1;1;2;5;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SS_01_01;HKE;;36;24;67.3;12;3.5;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;5;2;3;1;1;5;2;;1;1;;;1;;;;;;;;;;
SS_01_02;SBR;;35;27;44.5;7.5;2.7;27;;;;;;;;;;;;;;;;;;;;;;;;1;3;3;5;3;2;3;2;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SS_01_02;HKE;;18;12;67.1;12.3;3.5;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;3;2;1;;1;1;;1;;1;;;;;;;;;;;;
SS_01_03;SBR;;90;52;46.8;17.7;4.2;52;;;;;;;;;;;;;;;;;;;;;;;;3;4;2;5;3;3;5;3;4;6;4;3;2;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SS_01_03;HKE;;36;21;67.8;16.3;4;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;;2;1;4;2;1;1;2;2;;1;;1;;;;;;;;;;
SS_01_04;SBR;;3.5;2;42.5;4.5;2.1;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SS_01_05;SBR;;76.5;51;46.3;15.1;3.9;51;;;;;;;;;;;;;;;;;;;;;;;;2;5;3;4;3;6;5;4;3;4;5;2;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SS_01_05;HKE;;54;36;66.7;17.8;4.2;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;3;5;3;2;4;1;2;2;3;;2;1;2;;;;;;;;;;;
SS_01_06;SBR;;102;56;48;21.7;4.7;56;;;;;;;;;;;;;;;;;;;;;;;1;1;3;2;3;2;5;7;8;1;3;1;3;2;5;4;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SS_01_06;HKE;;27;18;68.2;17;4.1;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;1;1;1;3;;2;1;2;;2;1;1;;;;;;;;;;;
SS_02_01;SBR;;20;15;46.2;18.6;4.3;15;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;1;2;;1;;1;;1;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SS_02_01;HKE;;18;14;67.4;15.5;3.9;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;2;1;2;;2;1;;2;1;;;1;;;;;;;;;;;
SS_02_02;SBR;;15;10;46.7;30.9;5.6;10;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;;;;;1;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SS_02_02;HKE;;36;24;67.4;29.2;5.4;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;3;1;4;2;1;;1;;2;;3;1;2;;1;1;;;;;;;;;
SS_02_03;SBR;;17;17;42.5;5.9;2.4;17;;;;;;;;;;;;;;;;;;;;;;;1;2;3;4;2;3;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SS_02_03;HKE;;54;36;67.6;24.8;5;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;3;3;;3;3;1;3;2;3;1;3;1;3;1;3;1;;;;;;;;;;
